Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
San Diego Chargers,58.1,4.3,5.2,7.7,6.2,13.3,75.1,28.0,230.0,5.6,4.2
Green Bay Packers,59.1,6.3,6.1,8.9,7.4,15.1,84.1,42.0,323.0,6.3,7.4
Kansas City Chiefs,57.6,4.5,3.0,7.3,6.9,12.7,83.2,46.0,343.0,5.9,6.7
Dallas Cowboys,62.5,5.6,4.5,7.5,6.6,12.0,85.2,37.0,314.0,5.6,6.3
San Francisco 49ers,64.2,5.1,2.3,7.6,7.6,11.9,94.9,33.0,224.0,6.8,5.9
Cleveland Browns,57.1,4.8,4.9,6.9,5.7,12.1,73.9,33.0,271.0,4.9,5.5
Washington Redskins,60.0,6.3,2.4,8.1,8.3,13.5,97.0,35.0,251.0,7.2,7.0
New York Giants,49.4,2.1,5.4,6.7,4.7,13.6,55.7,49.0,363.0,3.7,7.9
Los Angeles Raiders,59.7,6.2,4.8,7.8,6.8,13.0,84.8,55.0,464.0,5.3,9.8
New York Jets,59.0,3.8,5.0,6.7,5.2,11.3,70.8,43.0,317.0,4.3,7.1
Atlanta Falcons,63.3,4.7,2.0,7.5,7.5,11.8,93.6,55.0,389.0,6.1,9.8
Los Angeles Rams,58.5,4.7,4.7,7.0,5.8,11.9,76.0,23.0,190.0,5.2,4.5
Minnesota Vikings,55.9,2.7,4.0,6.3,5.1,11.3,67.5,43.0,303.0,4.2,7.2
Cincinnati Bengals,63.9,3.1,4.0,7.7,6.5,12.0,81.1,40.0,309.0,5.4,8.1
Tampa Bay Buccaneers,56.8,3.4,4.5,6.6,5.2,11.6,69.4,49.0,366.0,4.2,8.5
Philadelphia Eagles,51.9,4.5,3.7,7.3,6.5,14.0,75.2,57.0,415.0,5.1,10.5
Chicago Bears,57.0,4.7,4.9,7.7,6.5,13.6,77.0,53.0,358.0,5.1,10.6
Buffalo Bills,55.5,5.3,4.9,6.0,4.9,10.8,70.5,37.0,351.0,4.0,6.1
Miami Dolphins,57.5,6.3,2.5,7.3,7.5,12.7,91.2,23.0,190.0,6.7,4.9
Denver Broncos,50.9,3.4,4.4,6.9,5.6,13.6,66.4,55.0,439.0,4.3,9.9
Seattle Seahawks,55.9,5.6,4.0,7.4,6.7,13.2,81.3,47.0,343.0,5.4,9.5
Detroit Lions,52.3,3.8,4.6,6.6,5.3,12.5,66.5,45.0,342.0,4.2,8.2
Houston Oilers,53.9,3.3,6.0,6.8,4.8,12.6,61.4,49.0,384.0,3.6,9.2
St. Louis Cardinals,58.0,6.3,4.6,7.2,6.4,12.4,82.4,59.0,441.0,4.8,11.4
New England Patriots,53.4,3.9,4.4,7.4,6.2,13.8,72.1,45.0,334.0,4.8,9.8
New Orleans Saints,57.2,3.3,5.9,6.5,4.6,11.4,63.5,35.0,305.0,3.5,7.6
Pittsburgh Steelers,51.6,3.7,5.6,6.7,4.9,13.1,61.9,52.0,350.0,3.6,11.3
Baltimore Colts,49.9,3.2,5.8,7.1,5.1,14.2,59.4,47.0,340.0,3.7,11.1
Avg Team,56.9,4.4,4.4,7.2,6.1,12.6,73.1,43.4,330.3,5.0,8.0
