Tm,Fmb
Cincinnati Bengals,29.0
Chicago Bears,23.0
Buffalo Bills,30.0
Kansas City Chiefs,32.0
Philadelphia Eagles,43.0
Denver Broncos,26.0
Minnesota Vikings,28.0
Detroit Lions,37.0
Los Angeles Raiders,28.0
San Francisco 49ers,32.0
New Orleans Saints,28.0
Houston Oilers,39.0
Los Angeles Rams,26.0
Washington Redskins,32.0
New York Giants,30.0
San Diego Chargers,24.0
Indianapolis Colts,33.0
Pittsburgh Steelers,32.0
New England Patriots,26.0
Green Bay Packers,35.0
Cleveland Browns,23.0
New York Jets,32.0
Tampa Bay Buccaneers,21.0
Dallas Cowboys,29.0
Seattle Seahawks,43.0
Phoenix Cardinals,24.0
Miami Dolphins,30.0
Atlanta Falcons,26.0
Avg Team,30.0
