Tm,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty
Miami Dolphins,1.0,2.0,0.0,70.0,0.0,0.0,0.0
San Francisco 49ers,1.0,2.0,0.0,57.0,0.0,0.0,1.0
Washington Redskins,3.0,4.0,0.0,51.0,0.0,0.0,0.0
St. Louis Cardinals,1.0,1.0,0.0,51.0,0.0,0.0,0.0
Seattle Seahawks,1.0,7.0,0.0,51.0,0.0,0.0,1.0
San Diego Chargers,0.0,4.0,0.0,48.0,0.0,0.0,0.0
Green Bay Packers,0.0,2.0,0.0,51.0,0.0,0.0,0.0
Pittsburgh Steelers,2.0,4.0,0.0,45.0,0.0,0.0,0.0
Los Angeles Raiders,1.0,2.0,0.0,44.0,0.0,0.0,2.0
New England Patriots,1.0,0.0,0.0,42.0,0.0,0.0,1.0
Denver Broncos,4.0,4.0,0.0,42.0,0.0,0.0,0.0
Los Angeles Rams,0.0,3.0,0.0,38.0,0.0,0.0,3.0
Cincinnati Bengals,0.0,4.0,0.0,39.0,0.0,0.0,1.0
Tampa Bay Buccaneers,0.0,1.0,0.0,40.0,0.0,0.0,0.0
New York Jets,2.0,0.0,0.0,40.0,0.0,0.0,1.0
Chicago Bears,0.0,1.0,0.0,37.0,0.0,0.0,1.0
Kansas City Chiefs,0.0,2.0,0.0,35.0,0.0,0.0,0.0
Dallas Cowboys,1.0,2.0,0.0,34.0,0.0,0.0,1.0
New York Giants,1.0,0.0,1.0,36.0,0.0,0.0,0.0
New Orleans Saints,1.0,3.0,0.0,34.0,0.0,0.0,0.0
Detroit Lions,0.0,0.0,0.0,32.0,0.0,0.0,0.0
Atlanta Falcons,0.0,1.0,0.0,31.0,0.0,0.0,2.0
Philadelphia Eagles,0.0,0.0,1.0,27.0,0.0,0.0,0.0
Minnesota Vikings,2.0,1.0,0.0,31.0,0.0,0.0,0.0
Cleveland Browns,1.0,0.0,0.0,25.0,0.0,0.0,0.0
Buffalo Bills,2.0,0.0,1.0,31.0,0.0,0.0,0.0
Houston Oilers,1.0,0.0,0.0,28.0,0.0,0.0,0.0
Indianapolis Colts,0.0,1.0,0.0,28.0,0.0,0.0,1.0
Avg Team,0.9,1.8,0.1,39.92857142857143,0.0,0.0,0.5
